County,AD,ED,Name,Votes
New York,AD65,ED10,RON KIM,4
New York,AD65,ED10,BENJAMIN L. YEE,6
New York,AD65,ED10,A. MANNY ALICANDRO,0
New York,AD65,ED10,NOMIKI D. KONST,2
New York,AD65,ED10,DAVID EISENBACH,1
New York,AD65,ED10,JARED RICH,0
New York,AD65,ED10,ANTHONY TONY HERBERT,0
New York,AD65,ED10,HELAL A. SHEIKH,0
New York,AD65,ED10,WRITE-IN,0
New York,AD65,ED11,MELISSA MARK-VIVERITO,0
New York,AD65,ED11,MICHAEL A. BLAKE,0
New York,AD65,ED11,DAWN L. SMALLS,0
New York,AD65,ED11,ERIC A. ULRICH,0
New York,AD65,ED11,YDANIS RODRIGUEZ,0
New York,AD65,ED11,DANIEL J. O'DONNELL,0
New York,AD65,ED11,RAFAEL L. ESPINAL JR.,0
New York,AD65,ED11,LATRICE M. WALKER,0
New York,AD65,ED11,JUMAANE D. WILLIAMS,0
New York,AD65,ED11,RON KIM,0
New York,AD65,ED11,BENJAMIN L. YEE,0
New York,AD65,ED11,A. MANNY ALICANDRO,0
New York,AD65,ED11,NOMIKI D. KONST,0
New York,AD65,ED11,DAVID EISENBACH,0
New York,AD65,ED11,JARED RICH,0
New York,AD65,ED11,ANTHONY TONY HERBERT,0
New York,AD65,ED11,HELAL A. SHEIKH,0
New York,AD65,ED11,WRITE-IN,0
New York,AD65,ED12,MELISSA MARK-VIVERITO,21
New York,AD65,ED12,MICHAEL A. BLAKE,13
New York,AD65,ED12,DAWN L. SMALLS,8
New York,AD65,ED12,ERIC A. ULRICH,43
New York,AD65,ED12,YDANIS RODRIGUEZ,2
New York,AD65,ED12,DANIEL J. O'DONNELL,0
New York,AD65,ED12,RAFAEL L. ESPINAL JR.,4
New York,AD65,ED12,LATRICE M. WALKER,0
New York,AD65,ED12,JUMAANE D. WILLIAMS,39
New York,AD65,ED12,RON KIM,6
New York,AD65,ED12,BENJAMIN L. YEE,12
New York,AD65,ED12,A. MANNY ALICANDRO,4
New York,AD65,ED12,NOMIKI D. KONST,1
New York,AD65,ED12,DAVID EISENBACH,3
New York,AD65,ED12,JARED RICH,1
New York,AD65,ED12,ANTHONY TONY HERBERT,1
New York,AD65,ED12,HELAL A. SHEIKH,0
New York,AD65,ED12,WRITE-IN,0
New York,AD65,ED13,MELISSA MARK-VIVERITO,0
New York,AD65,ED13,MICHAEL A. BLAKE,0
New York,AD65,ED13,DAWN L. SMALLS,0
New York,AD65,ED13,ERIC A. ULRICH,0
New York,AD65,ED13,YDANIS RODRIGUEZ,0
New York,AD65,ED13,DANIEL J. O'DONNELL,0
New York,AD65,ED13,RAFAEL L. ESPINAL JR.,0
New York,AD65,ED13,LATRICE M. WALKER,0
New York,AD65,ED13,JUMAANE D. WILLIAMS,0
New York,AD65,ED13,RON KIM,0
New York,AD65,ED13,BENJAMIN L. YEE,0
New York,AD65,ED13,A. MANNY ALICANDRO,0
New York,AD65,ED13,NOMIKI D. KONST,0
New York,AD65,ED13,DAVID EISENBACH,0
New York,AD65,ED13,JARED RICH,0
New York,AD65,ED13,ANTHONY TONY HERBERT,0
New York,AD65,ED13,HELAL A. SHEIKH,0
New York,AD65,ED13,WRITE-IN,0
New York,AD65,ED14,MELISSA MARK-VIVERITO,19
New York,AD65,ED14,MICHAEL A. BLAKE,9
New York,AD65,ED14,DAWN L. SMALLS,9
New York,AD65,ED14,ERIC A. ULRICH,27
New York,AD65,ED14,YDANIS RODRIGUEZ,0
New York,AD65,ED14,DANIEL J. O'DONNELL,3
New York,AD65,ED14,RAFAEL L. ESPINAL JR.,3
New York,AD65,ED14,LATRICE M. WALKER,0
New York,AD65,ED14,JUMAANE D. WILLIAMS,45
New York,AD65,ED14,RON KIM,6
New York,AD65,ED14,BENJAMIN L. YEE,5
New York,AD65,ED14,A. MANNY ALICANDRO,1
New York,AD65,ED14,NOMIKI D. KONST,3
