CD,elect_dist,AD,ED
CD10,72066,AD72,ED66
CD10,72057,AD72,ED57
CD10,72058,AD72,ED58
CD10,71083,AD71,ED83
CD10,71085,AD71,ED85
CD8,77065,AD77,ED65
CD8,77068,AD77,ED68
CD8,84009,AD84,ED9
CD8,84011,AD84,ED11
CD8,84012,AD84,ED12
CD8,84013,AD84,ED13
CD8,77001,AD77,ED1
CD8,84010,AD84,ED10
CD8,77049,AD77,ED49
CD8,77066,AD77,ED66
CD8,84019,AD84,ED19
CD8,84020,AD84,ED20
CD8,84023,AD84,ED23
CD8,84024,AD84,ED24
CD8,84025,AD84,ED25
CD8,84026,AD84,ED26
CD8,84028,AD84,ED28
CD8,84029,AD84,ED29
CD8,84030,AD84,ED30
CD8,84031,AD84,ED31
CD8,84033,AD84,ED33
CD8,84040,AD84,ED40
CD8,84041,AD84,ED41
CD8,84043,AD84,ED43
CD8,84046,AD84,ED46
CD8,84047,AD84,ED47
CD8,84049,AD84,ED49
CD8,84052,AD84,ED52
CD8,84055,AD84,ED55
CD8,84056,AD84,ED56
CD8,84059,AD84,ED59
CD8,84062,AD84,ED62
CD8,84067,AD84,ED67
CD8,84068,AD84,ED68
CD8,84069,AD84,ED69
CD8,84070,AD84,ED70
CD8,84071,AD84,ED71
CD8,84072,AD84,ED72
CD8,84078,AD84,ED78
CD8,84079,AD84,ED79
CD8,84084,AD84,ED84
CD8,85041,AD85,ED41
CD8,85042,AD85,ED42
CD8,77069,AD77,ED69
CD8,84021,AD84,ED21
CD8,84063,AD84,ED63
CD8,84057,AD84,ED57
CD8,84065,AD84,ED65
CD8,84085,AD84,ED85
CD8,85085,AD85,ED85
CD8,84015,AD84,ED15
CD8,84027,AD84,ED27
CD8,84032,AD84,ED32
CD8,84018,AD84,ED18
CD8,77059,AD77,ED59
CD8,84058,AD84,ED58
CD8,84060,AD84,ED60
CD8,84061,AD84,ED61
CD8,84064,AD84,ED64
CD8,84054,AD84,ED54
CD8,84066,AD84,ED66
CD8,84016,AD84,ED16
CD8,84014,AD84,ED14
CD8,68016,AD68,ED16
CD8,68022,AD68,ED22
CD8,68023,AD68,ED23
CD8,68024,AD68,ED24
CD8,68026,AD68,ED26
CD8,68028,AD68,ED28
CD8,68029,AD68,ED29
CD8,68030,AD68,ED30
CD8,68032,AD68,ED32
CD8,68035,AD68,ED35
CD8,68036,AD68,ED36
CD8,68037,AD68,ED37
CD8,68038,AD68,ED38
CD8,68040,AD68,ED40
CD8,68044,AD68,ED44
CD8,68045,AD68,ED45
CD8,68046,AD68,ED46
CD8,68047,AD68,ED47
CD8,68048,AD68,ED48
CD8,68049,AD68,ED49
CD8,68050,AD68,ED50
CD8,68051,AD68,ED51
CD8,68052,AD68,ED52
CD8,68053,AD68,ED53
CD8,68054,AD68,ED54
CD8,68055,AD68,ED55
CD8,68056,AD68,ED56
CD8,68063,AD68,ED63
CD8,68064,AD68,ED64
CD8,68065,AD68,ED65
CD8,68066,AD68,ED66
